Iteration,zeta,ESS,mu,gamma,sigma_j,sigma_v,rho,k,v_p,lat_z,lat_v
1,1e-05,2000,0.5745,0.2355,0.4045,0.409,0.388,0.4785,0.5055,0.321725,0.471507
2,1.5722e-05,1846.28,0.6795,0.264,0.4745,0.3265,0.7075,0.5145,0.481,0.293358,0.446579
3,2.14439e-05,1696.45,0.7095,0.291,0.4885,0.302,0.7885,0.5155,0.4075,0.271669,0.42599
4,3.09805e-05,1545.28,0.7055,0.2705,0.4905,0.3025,0.822,0.4865,0.411,0.256073,0.409457
5,4.81461e-05,1394.98,0.7195,0.249,0.4945,0.275,0.8175,0.4505,0.3825,0.239623,0.393864
6,7.86622e-05,1255.4,0.719,0.2485,0.445,0.2625,0.78,0.4525,0.384,0.225907,0.3835
7,0.000132064,1127.14,0.6975,0.241,0.4125,0.2895,0.7625,0.4385,0.375,0.214483,0.376109
8,0.000223604,1012.22,0.703,0.223,0.3675,0.257,0.7445,0.405,0.3825,0.202523,0.367709
9,0.000376158,2000,0.696,0.2485,0.3395,0.267,0.749,0.4325,0.3835,0.192129,0.375497
10,0.00104729,1799.17,0.713,0.248,0.3355,0.2685,0.694,0.4155,0.396,0.180755,0.374123
11,0.001657,1621.19,0.723,0.224,0.303,0.2635,0.686,0.401,0.392,0.169301,0.372844
12,0.00244915,1457.22,0.705,0.2055,0.3005,0.2765,0.6745,0.395,0.369,0.161099,0.370808
13,0.00342332,1319.67,0.7105,0.188,0.298,0.258,0.688,0.405,0.377,0.153712,0.369662
14,0.00476149,1186.77,0.704,0.179,0.28,0.277,0.6665,0.421,0.387,0.14998,0.368871
15,0.00621936,1076.65,0.7,0.157,0.2905,0.259,0.6505,0.4125,0.407,0.472199,0.369291
16,0.00791772,2000,0.713,0.252,0.2865,0.271,0.721,0.427,0.385,0.129368,0.388798
17,0.0132463,1794.21,0.711,0.25,0.291,0.2805,0.655,0.41,0.398,0.453636,0.388175
18,0.0156554,1619.44,0.716,0.218,0.318,0.26,0.658,0.418,0.362,0.122377,0.384205
19,0.0175779,1464,0.7085,0.193,0.3115,0.255,0.6545,0.393,0.402,0.44356,0.382675
20,0.0192568,1321.26,0.6955,0.1885,0.3005,0.256,0.6445,0.396,0.386,0.116675,0.378775
21,0.0209329,1179.39,0.7055,0.1745,0.296,0.267,0.64,0.4015,0.3715,0.433967,0.378262
22,0.0223671,1061.41,0.6965,0.1625,0.3015,0.266,0.6625,0.3985,0.3845,0.111768,0.374245
