"","V1"
"y",1
"Y",1.60231955945546
"Y",1.26733306412429
"Y",1.52352991699195
"Y",2.40611045564438
"Y",2.49955475841538
"Y",2.81520020571394
"Y",3.14141042375865
"Y",3.89671227584479
"Y",3.85629223519604
"Y",2.93703056717609
"Y",2.3110078816446
"Y",2.05366576605651
"Y",2.01846493035309
"Y",1.55535420915888
"Y",1.62135498702437
"Y",1.79208079027921
"Y",2.1044434697967
"Y",1.76324487238518
"Y",1.92146767644009
"Y",1.72658224914092
"Y",2.02610643050226
"Y",1.21291754024556
"Y",1.13806863239765
"Y",1.14110899305196
"Y",1.47642919989989
"Y",2.03580131334839
"Y",1.65326012514417
"Y",1.89051700468353
"Y",1.73475577772848
"Y",1.00075395387748
"Y",0.675049909928154
"Y",0.69563639841584
"Y",1.03729278783987
"Y",1.32186986559805
"Y",1.31080553923695
"Y",1.41299821643273
"Y",1.70331591596471
"Y",1.66463789142552
"Y",1.89941706256688
"Y",1.45587591883515
"Y",1.69682932218517
"Y",1.48327397138623
"Y",1.24600950053293
"Y",1.53311519024855
"Y",1.72252670372025
"Y",1.93182819754499
"Y",1.85306340782711
"Y",2.05382487345702
"Y",2.0562751932214
"Y",3.2933817008176
"Y",3.4602463392219
"Y",3.57854570448276
"Y",2.77875637133895
"Y",2.71609027494338
"Y",2.85774934917458
"Y",3.27448196586338
"Y",3.57766964757274
"Y",3.62346498111685
"Y",4.35035852994532
"Y",4.55554959111354
"Y",4.70068651300583
"Y",5.12161132165779
"Y",5.15452219887953
"Y",5.0833631609449
"Y",4.92022826086954
"Y",5.01189813181755
"Y",5.34700523079494
"Y",5.21577454790242
"Y",5.52383981320328
"Y",5.39412541456297
"Y",5.2773512520981
"Y",5.19417247800335
"Y",5.20894128009898
"Y",4.60365042002733
"Y",5.0072423510504
"Y",5.26437995958465
"Y",5.65226779123003
"Y",5.0576842299589
"Y",5.74544443294621
"Y",5.52462340783499
"Y",5.28961798347564
"Y",4.95800734924489
"Y",5.0283018387736
"Y",5.22316283130881
"Y",5.03193601590275
"Y",5.01372879168537
"Y",4.71123615292172
"Y",4.73645276630236
"Y",4.6390218184638
"Y",4.66548380876877
"Y",4.80153770623361
"Y",4.70859172407858
"Y",5.11240543795732
"Y",5.52895985580709
"Y",5.6819886759111
"Y",5.81816461635763
"Y",5.94448336671538
"Y",6.1846831138833
"Y",5.86193858864515
"Y",6.07961511226733
"Y",6.09654254221271
"Y",5.91419933070657
"Y",6.35786024797524
"Y",6.60918500628452
"Y",6.50459060595805
"Y",6.54906908660216
"Y",6.63751617929951
"Y",7.01050404076118
"Y",7.21651462879129
"Y",7.59793092850748
"Y",8.00984370405576
"Y",7.82627629003481
"Y",7.91245117712619
"Y",9.1885750860456
"Y",8.89556800097816
"Y",8.91275031479872
"Y",9.47123984281853
"Y",8.96711768575313
"Y",8.42933621438388
"Y",8.99908805407322
"Y",8.49973326407301
"Y",8.80418841014609
"Y",8.54906861919236
"Y",8.098432840412
"Y",7.98048589629402
"Y",8.36734388080321
"Y",8.32929321427978
"Y",8.73180001741233
"Y",8.71043841446256
"Y",8.12396823020504
"Y",8.31044834304483
"Y",8.71176156536956
"Y",9.05110221327805
"Y",9.14593223783881
"Y",9.05733236226069
"Y",9.46891783581878
"Y",9.6078858319822
"Y",10.1238793368762
"Y",10.3689869337968
"Y",10.7002121822295
"Y",10.9049021244211
"Y",11.113098589856
"Y",11.4977631506028
"Y",11.794024744025
"Y",11.5280691958012
"Y",11.2105167358918
"Y",10.9590394257681
"Y",10.9487054751206
"Y",10.6039289589384
"Y",10.5494129441475
