"","V1"
"y",1
"Y",1.26259960842339
"Y",0.70968514773856
"Y",1.12987126997955
"Y",-0.870845629906708
"Y",-0.413809746591016
"Y",-0.659348401148265
"Y",-0.386000621545364
"Y",-0.0598015128145699
"Y",0.272413658018619
"Y",0.348780984630369
"Y",-0.763876067851764
"Y",-0.786245416790316
"Y",-0.264453572679544
"Y",-0.320964759895381
"Y",-0.142577208819619
"Y",-0.0607077861917126
"Y",0.182513568289225
"Y",0.400415526241936
"Y",0.739757563959839
"Y",0.89456126753704
"Y",0.659835518775262
"Y",-0.0924579749969837
"Y",0.00773265304362646
"Y",-0.0451434424415429
"Y",0.345350431229128
"Y",0.516873015201014
"Y",1.01655632797697
"Y",1.05135022459182
"Y",1.34587027496696
"Y",1.54811879149747
"Y",1.33953855664992
"Y",1.23602537627361
"Y",1.14465480176082
"Y",1.78124664255191
"Y",1.88965166506876
"Y",2.64421502775198
"Y",2.88484669614345
"Y",2.79190588164366
"Y",3.13319355098997
"Y",2.89654264761684
"Y",3.00583873848124
"Y",3.0104719667415
"Y",3.31998093431793
"Y",3.43076110205322
"Y",2.85046341262494
"Y",3.35139067825436
"Y",3.39810905066056
"Y",3.68876561430159
"Y",4.225964793348
"Y",4.30544412098825
"Y",3.6858318273745
"Y",3.81343589346977
"Y",4.4776052337481
"Y",4.95836337091046
"Y",4.91812545030496
"Y",5.02470366718617
"Y",4.67746848058789
"Y",4.70634128708186
"Y",4.30417839808455
"Y",4.73168397950735
"Y",5.32485774890064
"Y",5.73341169643959
"Y",5.75514885085208
"Y",5.5763071145806
"Y",5.80888953073774
"Y",5.9853310475485
"Y",5.89808020504751
"Y",5.57935438937655
"Y",5.91320004449664
"Y",5.80076059870443
"Y",6.17937807172517
"Y",5.67012411391409
"Y",5.42675665327487
"Y",5.49773184297355
"Y",5.17642977022791
"Y",5.039217419072
"Y",4.78865687340302
"Y",4.92860679294753
"Y",4.85065324590692
"Y",5.12151907357448
"Y",5.81417977268068
"Y",5.42429972500212
"Y",5.52696408817569
"Y",5.29531339133714
"Y",5.29213944625435
"Y",5.18313742563167
"Y",5.86062330103833
"Y",6.05285014252539
"Y",5.3548000840681
"Y",5.83551854390936
"Y",5.78598399018634
"Y",6.07371436830189
"Y",6.381861914817
"Y",6.62327658204888
"Y",6.66809263494131
"Y",6.62528795386843
"Y",6.89491732792664
"Y",7.03161388848474
"Y",6.30139310419171
"Y",6.54194914891634
"Y",6.4000731648687
"Y",6.30891933948022
"Y",6.37659448991267
"Y",6.64294607370472
"Y",7.35908927685913
"Y",7.42053686679557
"Y",7.29129073061224
"Y",7.35335923522941
"Y",7.78047225197482
"Y",6.78142554505982
"Y",6.86247655245355
"Y",6.76639860280008
"Y",7.23524688998625
"Y",7.59143770984988
"Y",8.00168737064762
"Y",7.60126260788739
"Y",7.34424355261299
"Y",7.62968078961979
"Y",7.76571104062865
"Y",7.20671545704116
"Y",7.30811937763569
"Y",7.40212336131062
"Y",7.17685534078533
"Y",6.79600960002764
"Y",6.45695243588309
"Y",5.77792515088552
"Y",5.52278419429231
"Y",5.47407026198773
"Y",6.28410729682651
"Y",6.48142357499537
"Y",6.31402277104194
"Y",6.19180873839263
"Y",5.62215824532564
"Y",6.00707896892747
"Y",5.92937718292583
"Y",5.61368132316409
"Y",5.4188393836857
"Y",5.55779984985202
"Y",5.8099368766274
"Y",5.91622392675486
"Y",5.96413465336634
"Y",5.93958963110847
"Y",5.92161874985286
"Y",6.39645814162551
"Y",6.70455045811795
"Y",6.46749138236511
"Y",6.88756688923659
"Y",7.38204120151415
"Y",7.2401986695671
"Y",7.92603599787317
