mu,gam,sigma_j,sigma_v,rho,k,v,w,norm_w,sum
0.246956,-0.000135027,0.449036,0.151608,-0.000408274,1.26223,0.0369077,9.029e+14,0.000488139,3483.59
0.255791,-7.7825e-05,0.390559,0.136876,0.0261464,1.23579,0.0312206,9.39665e+14,0.000508015,3493.59
0.257758,-0.000415756,0.471597,0.15286,-0.053154,1.26433,0.0349896,1.29027e+15,0.000697563,3491.91
0.23884,-8.64022e-05,0.427722,0.1661,0.121699,1.34911,0.0347742,1.04446e+15,0.000564673,3482.07
0.245721,-0.000387872,0.432528,0.153078,0.0371036,1.29688,0.0338554,1.28076e+15,0.000692421,3502.36
0.261391,-0.000272979,0.4782,0.15581,0.0483815,1.31211,0.0332501,1.58157e+15,0.000855054,3514.22
0.259596,-6.58893e-05,0.385429,0.154606,0.15056,1.33642,0.0309176,9.50185e+14,0.000513703,3503.97
0.24897,-0.000121474,0.399526,0.135824,0.135493,1.25014,0.0311668,4.84803e+14,0.000262101,3454.74
0.249003,-0.000264647,0.506286,0.186914,0.0145757,1.42428,0.0368252,7.99354e+14,0.000432158,3472.29
0.249808,-5.56297e-05,0.442877,0.143212,-0.247871,1.26992,0.0327117,1.40234e+15,0.000758154,3505.17
0.259024,0.000126136,0.445707,0.14759,0.0407772,1.2807,0.0330167,1.09347e+15,0.000591166,3494.61
0.249054,-0.000335492,0.479051,0.141524,0.149907,1.28697,0.0295992,1.02134e+15,0.000552171,3484.15
0.255433,-5.42594e-05,0.444186,0.141044,0.0258203,1.25883,0.0331291,4.8298e+14,0.000261116,3450.97
0.246474,-0.000248995,0.485919,0.144389,-0.0520427,1.23847,0.0356791,9.95271e+14,0.000538078,3488.51
0.255097,5.05276e-05,0.444184,0.144534,0.163005,1.26637,0.0325558,1.05576e+15,0.00057078,3490.66
0.250319,-0.000322956,0.421661,0.172997,0.0705754,1.35958,0.0359411,9.12221e+14,0.000493179,3493.56
0.2498,-0.000302851,0.429177,0.171097,0.133902,1.31067,0.0403769,6.29712e+14,0.000340444,3479.47
0.250315,1.12903e-05,0.444023,0.151484,0.0391418,1.29896,0.0332647,1.18028e+15,0.000638098,3500.3
0.255614,-0.00025014,0.445505,0.151157,0.0408278,1.32383,0.0309334,9.5666e+14,0.000517203,3492.2
0.254686,-0.000377534,0.451392,0.158701,-0.0259358,1.33777,0.0320671,1.04327e+15,0.000564029,3496.6
0.258566,-0.000305272,0.409785,0.14618,0.150901,1.30371,0.0310118,9.2626e+14,0.000500768,3495.63
0.249562,-2.92256e-05,0.485085,0.168469,0.101826,1.3529,0.0354647,1.20804e+15,0.000653108,3513.51
0.239244,7.74076e-05,0.435883,0.163113,0.0576994,1.32999,0.034729,1.01522e+15,0.000548862,3492.5
0.249879,-8.77159e-05,0.455482,0.13737,0.0176806,1.23774,0.0334917,7.23562e+14,0.000391183,3485.45
0.259164,-7.88199e-05,0.439167,0.153552,0.267888,1.32109,0.0316034,9.7811e+14,0.0005288,3492.38
0.255088,-6.00687e-05,0.447686,0.141925,0.0411578,1.25871,0.0328396,1.03905e+15,0.000561749,3495.9
0.248881,-0.000360196,0.488423,0.173891,0.0862496,1.35086,0.0365435,6.65206e+14,0.000359633,3483.53
0.257708,-0.000149057,0.469217,0.162395,0.0385742,1.34539,0.0325549,1.04883e+15,0.000567032,3499.39
0.258244,-7.53134e-05,0.490931,0.169609,-0.0733135,1.431,0.0302514,5.75547e+14,0.000311161,3463.34
0.249815,-5.12749e-05,0.436078,0.167599,-0.0165802,1.31721,0.0369285,1.49223e+15,0.000806749,3516.12
0.260989,-0.000287891,0.457077,0.175769,0.210649,1.34366,0.0385049,7.6518e+14,0.000413683,3480.28
0.250031,-0.000271497,0.448669,0.145727,-0.190839,1.28418,0.0326631,1.38748e+15,0.000750122,3507.02
0.258216,0.000129025,0.491124,0.152796,0.0384553,1.27065,0.0347453,1.05932e+15,0.000572706,3493.35
0.250146,-0.000134207,0.405538,0.151439,0.0323266,1.29935,0.0332494,8.51453e+14,0.000460325,3499.38
0.257736,0.000339215,0.492498,0.163711,-0.0672728,1.34115,0.0346327,3.58256e+14,0.000193686,3438.84
0.25005,0.000140005,0.516972,0.186465,0.209758,1.40395,0.0372996,6.92361e+14,0.000374314,3480.4
0.250388,-0.000156387,0.448386,0.136736,0.0796621,1.19935,0.0373914,1.0928e+15,0.000590807,3491.28
0.250232,-0.000225304,0.445767,0.15726,0.0184854,1.32616,0.0332545,1.04908e+15,0.000567171,3496.96
0.256831,-0.000290431,0.493419,0.129115,0.108724,1.21712,0.0318621,6.56405e+14,0.000354875,3464.82
0.249511,-0.000188007,0.466752,0.143259,-0.0513659,1.24482,0.0332599,9.84272e+14,0.000532132,3483.07
