mu,gam,sigma_j,sigma_v,rho,k,v,w,norm_w,sum
-0.390032,0.000225943,0.593553,0.208092,0.132539,1.41027,0.0449342,8433.68,0.00141349,3398.91
-0.389931,0.000735197,0.50532,0.208349,0.167461,1.40723,0.0450594,2480.52,0.000415735,3381.12
-0.392511,0.000128212,0.501813,0.236978,0.176746,1.55648,0.0452898,1118.15,0.000187402,3378.99
-0.40098,0.000625398,0.567289,0.216097,0.0177343,1.39213,0.0478584,1617.63,0.000271115,3383.88
-0.388899,0.000156414,0.529881,0.207008,0.193464,1.40258,0.0451263,2115.1,0.000354491,3369.22
-0.401073,0.000480764,0.523734,0.216111,-0.075418,1.3912,0.0478811,4532.36,0.000759624,3381.74
-0.392763,0.000605604,0.60828,0.211066,-0.0141747,1.41346,0.0446992,1429.86,0.000239645,3362.9
-0.395003,0.00010492,0.54944,0.191576,-0.212422,1.28289,0.0500987,3366.07,0.000564154,3383.18
-0.398595,0.000385105,0.564739,0.197467,-0.137561,1.35897,0.0448937,2824.25,0.000473345,3374.61
-0.391385,0.000307249,0.556246,0.23066,0.0532389,1.46175,0.0472268,3812.8,0.000639026,3396.35
-0.392188,0.000406772,0.525346,0.205244,0.033837,1.40022,0.0443055,4231.21,0.00070915,3404.47
-0.392729,0.000628003,0.541139,0.239465,-0.0868122,1.49985,0.0465628,4380.95,0.000734248,3386.18
-0.392828,0.000677744,0.621143,0.233392,0.127053,1.5248,0.0455012,2352.33,0.000394251,3387.42
-0.392969,0.000522106,0.478404,0.217542,-0.0955174,1.41156,0.0467332,1176.18,0.000197129,3363.77
-0.3946,0.000466769,0.553816,0.193332,-0.112746,1.28738,0.0491105,1967.09,0.000329684,3368.37
-0.406741,0.000505625,0.536504,0.219583,0.00764114,1.39878,0.0484221,1839.32,0.00030827,3376.81
-0.387403,0.00058377,0.589007,0.164888,0.175839,1.21852,0.0452685,4807.76,0.000805781,3387.56
-0.400723,0.000156162,0.610988,0.215374,-0.0705146,1.38898,0.0478547,1478.36,0.000247773,3354.02
-0.391954,0.000410289,0.548943,0.185959,0.00514971,1.29324,0.0479913,4231.62,0.00070922,3379.38
-0.396729,0.000567488,0.567779,0.193822,-0.0541552,1.32161,0.0457704,13913,0.00233183,3404.39
-0.398774,0.000815483,0.580352,0.21295,0.121612,1.39582,0.0472939,1231.29,0.000206364,3373.41
-0.407309,0.000608151,0.598831,0.194965,-0.185646,1.33238,0.045913,1804.71,0.00030247,3383.75
-0.393967,0.000376927,0.527554,0.190236,-0.134123,1.29511,0.0490394,1239.41,0.000207725,3365.87
-0.38728,0.000707652,0.616428,0.234884,0.0446071,1.57029,0.0434802,8660.6,0.00145152,3396.41
-0.391859,0.000576398,0.552443,0.228063,0.133513,1.51061,0.0451425,2659.6,0.000445749,3398.48
-0.395978,0.000483094,0.64486,0.19694,-0.019678,1.33629,0.0464653,2027.39,0.000339791,3380.69
-0.400671,0.000240176,0.491298,0.217872,-0.0287711,1.42169,0.0469695,1949.19,0.000326685,3394.27
-0.40849,0.000424403,0.506678,0.182807,0.0730495,1.28071,0.0446016,1051.22,0.000176184,3367
-0.392579,0.000198458,0.551422,0.209268,-0.115692,1.35779,0.050133,817.326,0.000136984,3368.95
-0.38972,0.000283466,0.584731,0.237409,0.0214299,1.50931,0.0469145,4306.42,0.000721757,3392.61
-0.390976,0.000588106,0.485206,0.196294,-0.0123222,1.31941,0.048632,2530.56,0.000424122,3376.83
-0.39418,0.000748014,0.536378,0.209602,-0.204734,1.36436,0.0496467,753.067,0.000126214,3356.7
-0.398638,0.000576503,0.672041,0.195746,-0.0988929,1.35039,0.0460706,1205.85,0.0002021,3357.33
-0.391562,0.000484645,0.52559,0.207806,-0.0253447,1.40528,0.0450956,1892.95,0.000317259,3391.02
-0.393606,0.000458328,0.503893,0.197569,0.0799305,1.35752,0.0444701,2722.88,0.000456355,3364.03
-0.39752,0.000415616,0.565019,0.185464,-0.215479,1.2625,0.0509946,1820.8,0.000305166,3372.8
-0.392933,0.000477848,0.512634,0.234929,0.177628,1.52673,0.0454934,5818.88,0.000975245,3401.87
-0.330149,0.00030276,0.501521,0.187668,-0.00972963,1.46545,0.0340538,1346.96,0.000225751,3380.08
-0.393546,0.000594452,0.546034,0.200532,-0.0324371,1.39573,0.0443261,2158.8,0.000361814,3363.56
-0.414368,0.000606227,0.570907,0.172821,-0.0924666,1.27904,0.043017,6483.11,0.00108657,3399.09
-0.400272,0.000774105,0.595757,0.215808,-0.0889071,1.40176,0.0485154,911.587,0.000152782,3369.49
-0.39772,0.000103326,0.478614,0.189839,-0.155811,1.32915,0.0445042,5466.31,0.000916154,3385.57
